id,_embedded.show.id,_embedded.show.url,_embedded.show.name,_embedded.show.type,_embedded.show.language,_embedded.show.status,_embedded.show.runtime,_embedded.show.averageRuntime,_embedded.show.officialSite,domain
2601924,69152,https://www.tvmaze.com/shows/69152/mysterious-lotus-casebook,Mysterious Lotus Casebook,Scripted,Chinese,Running,45.0,45.0,https://www.iq.com/album/mysterious-lotus-casebook-2023-hg4cefqzed?lang=en_us,www.iq.com
2601925,69152,https://www.tvmaze.com/shows/69152/mysterious-lotus-casebook,Mysterious Lotus Casebook,Scripted,Chinese,Running,45.0,45.0,https://www.iq.com/album/mysterious-lotus-casebook-2023-hg4cefqzed?lang=en_us,www.iq.com
2593884,69210,https://www.tvmaze.com/shows/69210/zombieverse,Zombieverse,Reality,Korean,To Be Determined,,55.0,https://www.netflix.com/title/81635888,www.netflix.com
2617116,69210,https://www.tvmaze.com/shows/69210/zombieverse,Zombieverse,Reality,Korean,To Be Determined,,55.0,https://www.netflix.com/title/81635888,www.netflix.com
2617117,69210,https://www.tvmaze.com/shows/69210/zombieverse,Zombieverse,Reality,Korean,To Be Determined,,55.0,https://www.netflix.com/title/81635888,www.netflix.com
2617118,69210,https://www.tvmaze.com/shows/69210/zombieverse,Zombieverse,Reality,Korean,To Be Determined,,55.0,https://www.netflix.com/title/81635888,www.netflix.com
2617119,69210,https://www.tvmaze.com/shows/69210/zombieverse,Zombieverse,Reality,Korean,To Be Determined,,55.0,https://www.netflix.com/title/81635888,www.netflix.com
2617120,69210,https://www.tvmaze.com/shows/69210/zombieverse,Zombieverse,Reality,Korean,To Be Determined,,55.0,https://www.netflix.com/title/81635888,www.netflix.com
2617121,69210,https://www.tvmaze.com/shows/69210/zombieverse,Zombieverse,Reality,Korean,To Be Determined,,55.0,https://www.netflix.com/title/81635888,www.netflix.com
2617122,69210,https://www.tvmaze.com/shows/69210/zombieverse,Zombieverse,Reality,Korean,To Be Determined,,55.0,https://www.netflix.com/title/81635888,www.netflix.com
2587407,69678,https://www.tvmaze.com/shows/69678/duo-xuan-shi,Duo Xuan Shi,Animation,Chinese,Running,22.0,22.0,https://v.qq.com/x/search/?q=%E5%A0%95%E7%8E%84%E5%B8%88&stag=0&smartbox_ab=,v.qq.com
2600413,70008,https://www.tvmaze.com/shows/70008/stay-still,Stay Still,Scripted,Chinese,Running,,,https://www.youtube.com/@JPTentertain,www.youtube.com
2560656,66497,https://www.tvmaze.com/shows/66497/my-heart-is-beating,My Heart is Beating,Scripted,Korean,Running,62.0,59.0,https://program.kbs.co.kr/2tv/drama/heartbeat/pc/index.html,program.kbs.co.kr
2549226,67634,https://www.tvmaze.com/shows/67634/my-lovely-liar,My Lovely Liar,Scripted,Korean,Running,50.0,50.0,,
2616667,812,https://www.tvmaze.com/shows/812/days-of-our-lives,Days of Our Lives,Scripted,English,Running,60.0,60.0,https://www.peacocktv.com/stream-tv/days-of-our-lives,www.peacocktv.com
2617400,42289,https://www.tvmaze.com/shows/42289/love-island,Love Island,Reality,English,Running,,60.0,https://www.peacocktv.com/stream-tv/love-island,www.peacocktv.com
2538691,48830,https://www.tvmaze.com/shows/48830/only-murders-in-the-building,Only Murders in the Building,Scripted,English,Running,,33.0,https://www.hulu.com/series/only-murders-in-the-building,www.hulu.com
2555463,48830,https://www.tvmaze.com/shows/48830/only-murders-in-the-building,Only Murders in the Building,Scripted,English,Running,,33.0,https://www.hulu.com/series/only-murders-in-the-building,www.hulu.com
2544464,2266,https://www.tvmaze.com/shows/2266/wwe-nxt,WWE NXT,Sports,English,Running,120.0,81.0,http://www.wwe.com/inside/networkschedule,www.wwe.com
2560157,33200,https://www.tvmaze.com/shows/33200/forsta-dejten,Första Dejten,Reality,Swedish,Running,,30.0,https://www.svtplay.se/forsta-dejten,www.svtplay.se
2617225,55227,https://www.tvmaze.com/shows/55227/no-limite,No Limite,Reality,Portuguese,Running,90.0,90.0,https://gshow.globo.com/realities/no-limite/,gshow.globo.com
2599200,69940,https://www.tvmaze.com/shows/69940/politi,Politi,Documentary,Norwegian,Running,25.0,25.0,https://play.tv2.no/programmer/fakta/politi,play.tv2.no
2612115,922,https://www.tvmaze.com/shows/922/the-ultimate-fighter,The Ultimate Fighter,Reality,English,Running,60.0,60.0,https://ufc.com/tuf,ufc.com
